download_rank,pdb_id,experimental_methods,resolution_combined,deposited_atom_count,coordinate_url,download_status
974,2DB9,SOLUTION NMR,,1169,https://files.rcsb.org/download/2DB9.cif.gz,not_started
975,2DBA,SOLUTION NMR,,1098,https://files.rcsb.org/download/2DBA.cif.gz,not_started
976,2DBJ,SOLUTION NMR,,915,https://files.rcsb.org/download/2DBJ.cif.gz,not_started
977,2DBK,SOLUTION NMR,,656,https://files.rcsb.org/download/2DBK.cif.gz,not_started
978,2DBM,SOLUTION NMR,,554,https://files.rcsb.org/download/2DBM.cif.gz,not_started
979,2DCP,SOLUTION NMR,,1094,https://files.rcsb.org/download/2DCP.cif.gz,not_started
980,2DCQ,SOLUTION NMR,,1001,https://files.rcsb.org/download/2DCQ.cif.gz,not_started
981,2DCR,SOLUTION NMR,,884,https://files.rcsb.org/download/2DCR.cif.gz,not_started
982,2DDY,SOLUTION NMR,,1382,https://files.rcsb.org/download/2DDY.cif.gz,not_started
983,2DEN,SOLUTION NMR,,947,https://files.rcsb.org/download/2DEN.cif.gz,not_started
984,2DHI,SOLUTION NMR,,952,https://files.rcsb.org/download/2DHI.cif.gz,not_started
985,2DHJ,SOLUTION NMR,,983,https://files.rcsb.org/download/2DHJ.cif.gz,not_started
986,2DHK,SOLUTION NMR,,936,https://files.rcsb.org/download/2DHK.cif.gz,not_started
987,2DHS,SOLUTION NMR,,1470,https://files.rcsb.org/download/2DHS.cif.gz,not_started
988,2DHX,SOLUTION NMR,,754,https://files.rcsb.org/download/2DHX.cif.gz,not_started
989,2DHY,SOLUTION NMR,,507,https://files.rcsb.org/download/2DHY.cif.gz,not_started
990,2DHZ,SOLUTION NMR,,894,https://files.rcsb.org/download/2DHZ.cif.gz,not_started
991,2DI0,SOLUTION NMR,,550,https://files.rcsb.org/download/2DI0.cif.gz,not_started
992,2DI7,SOLUTION NMR,,953,https://files.rcsb.org/download/2DI7.cif.gz,not_started
993,2DI8,SOLUTION NMR,,810,https://files.rcsb.org/download/2DI8.cif.gz,not_started
994,2DI9,SOLUTION NMR,,927,https://files.rcsb.org/download/2DI9.cif.gz,not_started
995,2DIA,SOLUTION NMR,,785,https://files.rcsb.org/download/2DIA.cif.gz,not_started
996,2DIB,SOLUTION NMR,,947,https://files.rcsb.org/download/2DIB.cif.gz,not_started
997,2DIC,SOLUTION NMR,,751,https://files.rcsb.org/download/2DIC.cif.gz,not_started
998,2DIG,SOLUTION NMR,,517,https://files.rcsb.org/download/2DIG.cif.gz,not_started
999,2DII,SOLUTION NMR,,476,https://files.rcsb.org/download/2DII.cif.gz,not_started
1000,2DIL,SOLUTION NMR,,521,https://files.rcsb.org/download/2DIL.cif.gz,not_started
1001,2DIM,SOLUTION NMR,,550,https://files.rcsb.org/download/2DIM.cif.gz,not_started
1002,2DIN,SOLUTION NMR,,511,https://files.rcsb.org/download/2DIN.cif.gz,not_started
1003,2DIY,SOLUTION NMR,,968,https://files.rcsb.org/download/2DIY.cif.gz,not_started
1004,2DIZ,SOLUTION NMR,,898,https://files.rcsb.org/download/2DIZ.cif.gz,not_started
1005,2DJ0,SOLUTION NMR,,1094,https://files.rcsb.org/download/2DJ0.cif.gz,not_started
1006,2DJ1,SOLUTION NMR,,1064,https://files.rcsb.org/download/2DJ1.cif.gz,not_started
1007,2DJ2,SOLUTION NMR,,925,https://files.rcsb.org/download/2DJ2.cif.gz,not_started
1008,2DJ3,SOLUTION NMR,,1029,https://files.rcsb.org/download/2DJ3.cif.gz,not_started
1009,2DJ4,SOLUTION NMR,,787,https://files.rcsb.org/download/2DJ4.cif.gz,not_started
1010,2DJA,SOLUTION NMR,,640,https://files.rcsb.org/download/2DJA.cif.gz,not_started
1011,2DJB,SOLUTION NMR,,543,https://files.rcsb.org/download/2DJB.cif.gz,not_started
1012,2DJJ,SOLUTION NMR,,926,https://files.rcsb.org/download/2DJJ.cif.gz,not_started
1013,2DJK,SOLUTION NMR,,1025,https://files.rcsb.org/download/2DJK.cif.gz,not_started
1014,2DJM,SOLUTION NMR,,827,https://files.rcsb.org/download/2DJM.cif.gz,not_started
1015,2DJN,SOLUTION NMR,,545,https://files.rcsb.org/download/2DJN.cif.gz,not_started
1016,2DJR,SOLUTION NMR,,568,https://files.rcsb.org/download/2DJR.cif.gz,not_started
1017,2DJS,SOLUTION NMR,,825,https://files.rcsb.org/download/2DJS.cif.gz,not_started
1018,2DJT,SOLUTION NMR,,740,https://files.rcsb.org/download/2DJT.cif.gz,not_started
1019,2DJU,SOLUTION NMR,,769,https://files.rcsb.org/download/2DJU.cif.gz,not_started
1020,2DJV,SOLUTION NMR,,572,https://files.rcsb.org/download/2DJV.cif.gz,not_started
1021,2DK4,SOLUTION NMR,,587,https://files.rcsb.org/download/2DK4.cif.gz,not_started
1022,2DK7,SOLUTION NMR,,553,https://files.rcsb.org/download/2DK7.cif.gz,not_started
1023,2DK9,SOLUTION NMR,,885,https://files.rcsb.org/download/2DK9.cif.gz,not_started
1024,2DKM,SOLUTION NMR,,762,https://files.rcsb.org/download/2DKM.cif.gz,not_started
1025,2DKP,SOLUTION NMR,,1024,https://files.rcsb.org/download/2DKP.cif.gz,not_started
1026,2DKQ,SOLUTION NMR,,1193,https://files.rcsb.org/download/2DKQ.cif.gz,not_started
1027,2DKT,SOLUTION NMR,,1121,https://files.rcsb.org/download/2DKT.cif.gz,not_started
1028,2DL3,SOLUTION NMR,,537,https://files.rcsb.org/download/2DL3.cif.gz,not_started
1029,2DL4,SOLUTION NMR,,533,https://files.rcsb.org/download/2DL4.cif.gz,not_started
1030,2DL5,SOLUTION NMR,,600,https://files.rcsb.org/download/2DL5.cif.gz,not_started
1031,2DL7,SOLUTION NMR,,550,https://files.rcsb.org/download/2DL7.cif.gz,not_started
1032,2DL8,SOLUTION NMR,,549,https://files.rcsb.org/download/2DL8.cif.gz,not_started
1033,2DL9,SOLUTION NMR,,750,https://files.rcsb.org/download/2DL9.cif.gz,not_started
1034,2DLG,SOLUTION NMR,,724,https://files.rcsb.org/download/2DLG.cif.gz,not_started
1035,2DLM,SOLUTION NMR,,521,https://files.rcsb.org/download/2DLM.cif.gz,not_started
1036,2DLP,SOLUTION NMR,,612,https://files.rcsb.org/download/2DLP.cif.gz,not_started
1037,2DLS,SOLUTION NMR,,659,https://files.rcsb.org/download/2DLS.cif.gz,not_started
1038,2DLT,SOLUTION NMR,,810,https://files.rcsb.org/download/2DLT.cif.gz,not_started
1039,2DLU,SOLUTION NMR,,777,https://files.rcsb.org/download/2DLU.cif.gz,not_started
1040,2DM8,SOLUTION NMR,,862,https://files.rcsb.org/download/2DM8.cif.gz,not_started
1041,2DMB,SOLUTION NMR,,864,https://files.rcsb.org/download/2DMB.cif.gz,not_started
1042,2DMC,SOLUTION NMR,,840,https://files.rcsb.org/download/2DMC.cif.gz,not_started
1043,2DMD,SOLUTION NMR,,730,https://files.rcsb.org/download/2DMD.cif.gz,not_started
1044,2DME,SOLUTION NMR,,954,https://files.rcsb.org/download/2DME.cif.gz,not_started
1045,2DMF,SOLUTION NMR,,1052,https://files.rcsb.org/download/2DMF.cif.gz,not_started
1046,2DMK,SOLUTION NMR,,984,https://files.rcsb.org/download/2DMK.cif.gz,not_started
1047,2DML,SOLUTION NMR,,963,https://files.rcsb.org/download/2DML.cif.gz,not_started
1048,2DMM,SOLUTION NMR,,1105,https://files.rcsb.org/download/2DMM.cif.gz,not_started
1049,2DMN,SOLUTION NMR,,669,https://files.rcsb.org/download/2DMN.cif.gz,not_started
1050,2DMP,SOLUTION NMR,,692,https://files.rcsb.org/download/2DMP.cif.gz,not_started
1051,2DMQ,SOLUTION NMR,,633,https://files.rcsb.org/download/2DMQ.cif.gz,not_started
1052,2DMS,SOLUTION NMR,,639,https://files.rcsb.org/download/2DMS.cif.gz,not_started
1053,2DMT,SOLUTION NMR,,629,https://files.rcsb.org/download/2DMT.cif.gz,not_started
1054,2DMU,SOLUTION NMR,,578,https://files.rcsb.org/download/2DMU.cif.gz,not_started
1055,2DMX,SOLUTION NMR,,698,https://files.rcsb.org/download/2DMX.cif.gz,not_started
1056,2DMZ,SOLUTION NMR,,936,https://files.rcsb.org/download/2DMZ.cif.gz,not_started
1057,2DN6,SOLUTION NMR,,911,https://files.rcsb.org/download/2DN6.cif.gz,not_started
1058,2DN7,SOLUTION NMR,,819,https://files.rcsb.org/download/2DN7.cif.gz,not_started
1059,2DO8,SOLUTION NMR,,1493,https://files.rcsb.org/download/2DO8.cif.gz,not_started
1060,2DOC,SOLUTION NMR,,895,https://files.rcsb.org/download/2DOC.cif.gz,not_started
1061,2DOG,SOLUTION NMR,,670,https://files.rcsb.org/download/2DOG.cif.gz,not_started
1062,2DQ5,SOLUTION NMR,,373,https://files.rcsb.org/download/2DQ5.cif.gz,not_started
1063,2DS4,SOLUTION NMR,,866,https://files.rcsb.org/download/2DS4.cif.gz,not_started
1064,2DT6,SOLUTION NMR,,529,https://files.rcsb.org/download/2DT6.cif.gz,not_started
1065,2DT7,SOLUTION NMR,,1019,https://files.rcsb.org/download/2DT7.cif.gz,not_started
1066,2DW3,SOLUTION NMR,,612,https://files.rcsb.org/download/2DW3.cif.gz,not_started
1067,2DZI,SOLUTION NMR,,612,https://files.rcsb.org/download/2DZI.cif.gz,not_started
1068,2DZJ,SOLUTION NMR,,703,https://files.rcsb.org/download/2DZJ.cif.gz,not_started
1069,2DZK,SOLUTION NMR,,836,https://files.rcsb.org/download/2DZK.cif.gz,not_started
1070,2DZL,SOLUTION NMR,,509,https://files.rcsb.org/download/2DZL.cif.gz,not_started
1071,2DZM,SOLUTION NMR,,767,https://files.rcsb.org/download/2DZM.cif.gz,not_started
1072,2E0G,SOLUTION NMR,,839,https://files.rcsb.org/download/2E0G.cif.gz,not_started
1073,2E19,SOLUTION NMR,,479,https://files.rcsb.org/download/2E19.cif.gz,not_started
1074,2E29,SOLUTION NMR,,707,https://files.rcsb.org/download/2E29.cif.gz,not_started
1075,2E34,SOLUTION NMR,,1087,https://files.rcsb.org/download/2E34.cif.gz,not_started
1076,2E35,SOLUTION NMR,,1087,https://files.rcsb.org/download/2E35.cif.gz,not_started
1077,2E36,SOLUTION NMR,,1087,https://files.rcsb.org/download/2E36.cif.gz,not_started
1078,2E45,SOLUTION NMR,,404,https://files.rcsb.org/download/2E45.cif.gz,not_started
1079,2E4J,SOLUTION NMR,,1310,https://files.rcsb.org/download/2E4J.cif.gz,not_started
1080,2E5E,SOLUTION NMR,,788,https://files.rcsb.org/download/2E5E.cif.gz,not_started
1081,2E5K,SOLUTION NMR,,712,https://files.rcsb.org/download/2E5K.cif.gz,not_started
1082,2E61,SOLUTION NMR,,534,https://files.rcsb.org/download/2E61.cif.gz,not_started
1083,2E63,SOLUTION NMR,,1276,https://files.rcsb.org/download/2E63.cif.gz,not_started
1084,2E6I,SOLUTION NMR,,502,https://files.rcsb.org/download/2E6I.cif.gz,not_started
1085,2E6J,SOLUTION NMR,,832,https://files.rcsb.org/download/2E6J.cif.gz,not_started
1086,2E6P,SOLUTION NMR,,789,https://files.rcsb.org/download/2E6P.cif.gz,not_started
1087,2E6Q,SOLUTION NMR,,827,https://files.rcsb.org/download/2E6Q.cif.gz,not_started
1088,2E7B,SOLUTION NMR,,754,https://files.rcsb.org/download/2E7B.cif.gz,not_started
1089,2E7C,SOLUTION NMR,,925,https://files.rcsb.org/download/2E7C.cif.gz,not_started
1090,2E7H,SOLUTION NMR,,807,https://files.rcsb.org/download/2E7H.cif.gz,not_started
1091,2E7K,SOLUTION NMR,,650,https://files.rcsb.org/download/2E7K.cif.gz,not_started
1092,2E7M,SOLUTION NMR,,849,https://files.rcsb.org/download/2E7M.cif.gz,not_started
1093,2E8J,SOLUTION NMR,,1530,https://files.rcsb.org/download/2E8J.cif.gz,not_started
1094,2E9G,SOLUTION NMR,,1015,https://files.rcsb.org/download/2E9G.cif.gz,not_started
1095,2E9H,SOLUTION NMR,,1221,https://files.rcsb.org/download/2E9H.cif.gz,not_started
1096,2E9I,SOLUTION NMR,,772,https://files.rcsb.org/download/2E9I.cif.gz,not_started
1097,2E9J,SOLUTION NMR,,874,https://files.rcsb.org/download/2E9J.cif.gz,not_started
1098,2E9K,SOLUTION NMR,,953,https://files.rcsb.org/download/2E9K.cif.gz,not_started
1099,2EA5,SOLUTION NMR,,504,https://files.rcsb.org/download/2EA5.cif.gz,not_started
1100,2EA6,SOLUTION NMR,,504,https://files.rcsb.org/download/2EA6.cif.gz,not_started
1101,2EBK,SOLUTION NMR,,997,https://files.rcsb.org/download/2EBK.cif.gz,not_started
1102,2EBM,SOLUTION NMR,,1003,https://files.rcsb.org/download/2EBM.cif.gz,not_started
1103,2ECC,SOLUTION NMR,,616,https://files.rcsb.org/download/2ECC.cif.gz,not_started
1104,2ECG,SOLUTION NMR,,580,https://files.rcsb.org/download/2ECG.cif.gz,not_started
1105,2ECI,SOLUTION NMR,,670,https://files.rcsb.org/download/2ECI.cif.gz,not_started
1106,2ECJ,SOLUTION NMR,,447,https://files.rcsb.org/download/2ECJ.cif.gz,not_started
1107,2ECL,SOLUTION NMR,,638,https://files.rcsb.org/download/2ECL.cif.gz,not_started
1108,2ECM,SOLUTION NMR,,404,https://files.rcsb.org/download/2ECM.cif.gz,not_started
1109,2ECN,SOLUTION NMR,,521,https://files.rcsb.org/download/2ECN.cif.gz,not_started
1110,2ECT,SOLUTION NMR,,571,https://files.rcsb.org/download/2ECT.cif.gz,not_started
1111,2ECV,SOLUTION NMR,,631,https://files.rcsb.org/download/2ECV.cif.gz,not_started
1112,2ECW,SOLUTION NMR,,636,https://files.rcsb.org/download/2ECW.cif.gz,not_started
1113,2ECY,SOLUTION NMR,,492,https://files.rcsb.org/download/2ECY.cif.gz,not_started
1114,2ECZ,SOLUTION NMR,,532,https://files.rcsb.org/download/2ECZ.cif.gz,not_started
1115,2ED0,SOLUTION NMR,,595,https://files.rcsb.org/download/2ED0.cif.gz,not_started
1116,2ED1,SOLUTION NMR,,584,https://files.rcsb.org/download/2ED1.cif.gz,not_started
1117,2ED7,SOLUTION NMR,,892,https://files.rcsb.org/download/2ED7.cif.gz,not_started
1118,2ED8,SOLUTION NMR,,789,https://files.rcsb.org/download/2ED8.cif.gz,not_started
1119,2EDB,SOLUTION NMR,,877,https://files.rcsb.org/download/2EDB.cif.gz,not_started
1120,2EDD,SOLUTION NMR,,928,https://files.rcsb.org/download/2EDD.cif.gz,not_started
1121,2EDE,SOLUTION NMR,,879,https://files.rcsb.org/download/2EDE.cif.gz,not_started
1122,2EDX,SOLUTION NMR,,1000,https://files.rcsb.org/download/2EDX.cif.gz,not_started
1123,2EDY,SOLUTION NMR,,784,https://files.rcsb.org/download/2EDY.cif.gz,not_started
1124,2EDZ,SOLUTION NMR,,878,https://files.rcsb.org/download/2EDZ.cif.gz,not_started
1125,2EE0,SOLUTION NMR,,841,https://files.rcsb.org/download/2EE0.cif.gz,not_started
1126,2EE1,SOLUTION NMR,,543,https://files.rcsb.org/download/2EE1.cif.gz,not_started
1127,2EE2,SOLUTION NMR,,887,https://files.rcsb.org/download/2EE2.cif.gz,not_started
1128,2EE3,SOLUTION NMR,,761,https://files.rcsb.org/download/2EE3.cif.gz,not_started
1129,2EE4,SOLUTION NMR,,1687,https://files.rcsb.org/download/2EE4.cif.gz,not_started
1130,2EE5,SOLUTION NMR,,1774,https://files.rcsb.org/download/2EE5.cif.gz,not_started
1131,2EE6,SOLUTION NMR,,754,https://files.rcsb.org/download/2EE6.cif.gz,not_started
1132,2EE7,SOLUTION NMR,,1028,https://files.rcsb.org/download/2EE7.cif.gz,not_started
1133,2EE8,SOLUTION NMR,,856,https://files.rcsb.org/download/2EE8.cif.gz,not_started
1134,2EE9,SOLUTION NMR,,714,https://files.rcsb.org/download/2EE9.cif.gz,not_started
1135,2EEA,SOLUTION NMR,,842,https://files.rcsb.org/download/2EEA.cif.gz,not_started
1136,2EEB,SOLUTION NMR,,782,https://files.rcsb.org/download/2EEB.cif.gz,not_started
1137,2EEC,SOLUTION NMR,,895,https://files.rcsb.org/download/2EEC.cif.gz,not_started
1138,2EED,SOLUTION NMR,,738,https://files.rcsb.org/download/2EED.cif.gz,not_started
1139,2EEE,SOLUTION NMR,,1151,https://files.rcsb.org/download/2EEE.cif.gz,not_started
1140,2EEF,SOLUTION NMR,,1248,https://files.rcsb.org/download/2EEF.cif.gz,not_started
1141,2EEL,SOLUTION NMR,,681,https://files.rcsb.org/download/2EEL.cif.gz,not_started
1142,2EFI,SOLUTION NMR,,810,https://files.rcsb.org/download/2EFI.cif.gz,not_started
1143,2EGA,SOLUTION NMR,,531,https://files.rcsb.org/download/2EGA.cif.gz,not_started
1144,2EGC,SOLUTION NMR,,574,https://files.rcsb.org/download/2EGC.cif.gz,not_started
1145,2EGE,SOLUTION NMR,,544,https://files.rcsb.org/download/2EGE.cif.gz,not_started
1146,2EHR,SOLUTION NMR,,868,https://files.rcsb.org/download/2EHR.cif.gz,not_started
1147,2EKH,SOLUTION NMR,,607,https://files.rcsb.org/download/2EKH.cif.gz,not_started
1148,2EKI,SOLUTION NMR,,730,https://files.rcsb.org/download/2EKI.cif.gz,not_started
1149,2EKJ,SOLUTION NMR,,746,https://files.rcsb.org/download/2EKJ.cif.gz,not_started
1150,2ELJ,SOLUTION NMR,,696,https://files.rcsb.org/download/2ELJ.cif.gz,not_started
1151,2ELK,SOLUTION NMR,,449,https://files.rcsb.org/download/2ELK.cif.gz,not_started
1152,2ELL,SOLUTION NMR,,1318,https://files.rcsb.org/download/2ELL.cif.gz,not_started
1153,2EPP,SOLUTION NMR,,472,https://files.rcsb.org/download/2EPP.cif.gz,not_started
1154,2EQI,SOLUTION NMR,,534,https://files.rcsb.org/download/2EQI.cif.gz,not_started
1155,2EQR,SOLUTION NMR,,505,https://files.rcsb.org/download/2EQR.cif.gz,not_started
1156,2ERR,SOLUTION NMR,,856,https://files.rcsb.org/download/2ERR.cif.gz,not_started
1157,2ERS,SOLUTION NMR,,520,https://files.rcsb.org/download/2ERS.cif.gz,not_started
1158,2EVN,SOLUTION NMR,,827,https://files.rcsb.org/download/2EVN.cif.gz,not_started
1159,2EWL,SOLUTION NMR,,436,https://files.rcsb.org/download/2EWL.cif.gz,not_started
1160,2EXD,SOLUTION NMR,,588,https://files.rcsb.org/download/2EXD.cif.gz,not_started
1161,2F09,SOLUTION NMR,,672,https://files.rcsb.org/download/2F09.cif.gz,not_started
1162,2F1E,SOLUTION NMR,,911,https://files.rcsb.org/download/2F1E.cif.gz,not_started
1163,2F3V,SOLUTION NMR,,871,https://files.rcsb.org/download/2F3V.cif.gz,not_started
1164,2F3W,SOLUTION NMR,,864,https://files.rcsb.org/download/2F3W.cif.gz,not_started
1165,2F76,SOLUTION NMR,,846,https://files.rcsb.org/download/2F76.cif.gz,not_started
1166,2F77,SOLUTION NMR,,846,https://files.rcsb.org/download/2F77.cif.gz,not_started
1167,2F8B,SOLUTION NMR,,872,https://files.rcsb.org/download/2F8B.cif.gz,not_started
1168,2FE0,SOLUTION NMR,,1052,https://files.rcsb.org/download/2FE0.cif.gz,not_started
1169,2FE9,SOLUTION NMR,,695,https://files.rcsb.org/download/2FE9.cif.gz,not_started
1170,2FEK,SOLUTION NMR,,1168,https://files.rcsb.org/download/2FEK.cif.gz,not_started
1171,2FFK,SOLUTION NMR,,2354,https://files.rcsb.org/download/2FFK.cif.gz,not_started
1172,2FFT,SOLUTION NMR,,614,https://files.rcsb.org/download/2FFT.cif.gz,not_started
1173,2FFW,SOLUTION NMR,,600,https://files.rcsb.org/download/2FFW.cif.gz,not_started
1174,2FGX,SOLUTION NMR,,696,https://files.rcsb.org/download/2FGX.cif.gz,not_started
1175,2FHM,SOLUTION NMR,,728,https://files.rcsb.org/download/2FHM.cif.gz,not_started
1176,2FHO,SOLUTION NMR,,1103,https://files.rcsb.org/download/2FHO.cif.gz,not_started
1177,2FI2,SOLUTION NMR,,1477,https://files.rcsb.org/download/2FI2.cif.gz,not_started
1178,2FIN,SOLUTION NMR,,2354,https://files.rcsb.org/download/2FIN.cif.gz,not_started
1179,2FJ3,SOLUTION NMR,,873,https://files.rcsb.org/download/2FJ3.cif.gz,not_started
1180,2FJ6,SOLUTION NMR,,709,https://files.rcsb.org/download/2FJ6.cif.gz,not_started
1181,2FK4,SOLUTION NMR,,554,https://files.rcsb.org/download/2FK4.cif.gz,not_started
1182,2FN5,SOLUTION NMR,,697,https://files.rcsb.org/download/2FN5.cif.gz,not_started
1183,2FO8,SOLUTION NMR,,837,https://files.rcsb.org/download/2FO8.cif.gz,not_started
1184,2FQ0,SOLUTION NMR,,651,https://files.rcsb.org/download/2FQ0.cif.gz,not_started
1185,2FQ2,SOLUTION NMR,,651,https://files.rcsb.org/download/2FQ2.cif.gz,not_started
1186,2FQH,SOLUTION NMR,,855,https://files.rcsb.org/download/2FQH.cif.gz,not_started
1187,2FRW,SOLUTION NMR,,464,https://files.rcsb.org/download/2FRW.cif.gz,not_started
1188,2FRY,SOLUTION NMR,,491,https://files.rcsb.org/download/2FRY.cif.gz,not_started
1189,2FS1,SOLUTION NMR,,431,https://files.rcsb.org/download/2FS1.cif.gz,not_started
1190,2FVA,SOLUTION NMR,,659,https://files.rcsb.org/download/2FVA.cif.gz,not_started
1191,2FVE,SOLUTION NMR,,618,https://files.rcsb.org/download/2FVE.cif.gz,not_started
1192,2FVF,SOLUTION NMR,,651,https://files.rcsb.org/download/2FVF.cif.gz,not_started
1193,2FVN,SOLUTION NMR,,1074,https://files.rcsb.org/download/2FVN.cif.gz,not_started
1194,2FVT,SOLUTION NMR,,1068,https://files.rcsb.org/download/2FVT.cif.gz,not_started
1195,2FWL,SOLUTION NMR,,2071,https://files.rcsb.org/download/2FWL.cif.gz,not_started
1196,2FWS,SOLUTION NMR,,1068,https://files.rcsb.org/download/2FWS.cif.gz,not_started
1197,2FWU,SOLUTION NMR,,1252,https://files.rcsb.org/download/2FWU.cif.gz,not_started
1198,2FXP,SOLUTION NMR,,1284,https://files.rcsb.org/download/2FXP.cif.gz,not_started
1199,2FY9,SOLUTION NMR,,862,https://files.rcsb.org/download/2FY9.cif.gz,not_started
1200,2FYJ,SOLUTION NMR,,616,https://files.rcsb.org/download/2FYJ.cif.gz,not_started
1201,2FYL,SOLUTION NMR,,1288,https://files.rcsb.org/download/2FYL.cif.gz,not_started
1202,2G0K,SOLUTION NMR,,777,https://files.rcsb.org/download/2G0K.cif.gz,not_started
1203,2G0L,SOLUTION NMR,,795,https://files.rcsb.org/download/2G0L.cif.gz,not_started
1204,2G0Q,SOLUTION NMR,,1214,https://files.rcsb.org/download/2G0Q.cif.gz,not_started
1205,2G0U,SOLUTION NMR,,728,https://files.rcsb.org/download/2G0U.cif.gz,not_started
1206,2G1D,SOLUTION NMR,,809,https://files.rcsb.org/download/2G1D.cif.gz,not_started
1207,2G1E,SOLUTION NMR,,717,https://files.rcsb.org/download/2G1E.cif.gz,not_started
1208,2G2B,SOLUTION NMR,,1189,https://files.rcsb.org/download/2G2B.cif.gz,not_started
1209,2G31,SOLUTION NMR,,484,https://files.rcsb.org/download/2G31.cif.gz,not_started
1210,2G35,SOLUTION NMR,,888,https://files.rcsb.org/download/2G35.cif.gz,not_started
1211,2G3Q,SOLUTION NMR,,929,https://files.rcsb.org/download/2G3Q.cif.gz,not_started
1212,2G46,SOLUTION NMR,,2262,https://files.rcsb.org/download/2G46.cif.gz,not_started
1213,2G5M,SOLUTION NMR,,849,https://files.rcsb.org/download/2G5M.cif.gz,not_started
1214,2G7H,SOLUTION NMR,,1368,https://files.rcsb.org/download/2G7H.cif.gz,not_started
1215,2G7J,SOLUTION NMR,,906,https://files.rcsb.org/download/2G7J.cif.gz,not_started
1216,2G9O,SOLUTION NMR,,573,https://files.rcsb.org/download/2G9O.cif.gz,not_started
1217,2GA5,SOLUTION NMR,,969,https://files.rcsb.org/download/2GA5.cif.gz,not_started
1218,2GA7,SOLUTION NMR,,574,https://files.rcsb.org/download/2GA7.cif.gz,not_started
1219,2GDT,SOLUTION NMR,,891,https://files.rcsb.org/download/2GDT.cif.gz,not_started
1220,2GG1,SOLUTION NMR,,723,https://files.rcsb.org/download/2GG1.cif.gz,not_started
1221,2GGR,SOLUTION NMR,,500,https://files.rcsb.org/download/2GGR.cif.gz,not_started
1222,2GHF,SOLUTION NMR,,853,https://files.rcsb.org/download/2GHF.cif.gz,not_started
1223,2GI4,SOLUTION NMR,,1263,https://files.rcsb.org/download/2GI4.cif.gz,not_started
1224,2GJF,SOLUTION NMR,,1154,https://files.rcsb.org/download/2GJF.cif.gz,not_started
1225,2GJH,SOLUTION NMR,,896,https://files.rcsb.org/download/2GJH.cif.gz,not_started
1226,2GJI,SOLUTION NMR,,642,https://files.rcsb.org/download/2GJI.cif.gz,not_started
1227,2GJY,SOLUTION NMR,,1100,https://files.rcsb.org/download/2GJY.cif.gz,not_started
1228,2GKD,SOLUTION NMR,,1712,https://files.rcsb.org/download/2GKD.cif.gz,not_started
1229,2GLO,SOLUTION NMR,,982,https://files.rcsb.org/download/2GLO.cif.gz,not_started
1230,2GLW,SOLUTION NMR,,727,https://files.rcsb.org/download/2GLW.cif.gz,not_started
1231,2GM2,SOLUTION NMR,,1016,https://files.rcsb.org/download/2GM2.cif.gz,not_started
1232,2GMG,SOLUTION NMR,,851,https://files.rcsb.org/download/2GMG.cif.gz,not_started
1233,2GMO,SOLUTION NMR,,573,https://files.rcsb.org/download/2GMO.cif.gz,not_started
1234,2GO0,SOLUTION NMR,,1068,https://files.rcsb.org/download/2GO0.cif.gz,not_started
1235,2GO9,SOLUTION NMR,,1310,https://files.rcsb.org/download/2GO9.cif.gz,not_started
1236,2GOV,SOLUTION NMR,,1434,https://files.rcsb.org/download/2GOV.cif.gz,not_started
1237,2GOW,SOLUTION NMR,,915,https://files.rcsb.org/download/2GOW.cif.gz,not_started
1238,2GPF,SOLUTION NMR,,594,https://files.rcsb.org/download/2GPF.cif.gz,not_started
1239,2GQB,SOLUTION NMR,,940,https://files.rcsb.org/download/2GQB.cif.gz,not_started
1240,2GRG,SOLUTION NMR,,762,https://files.rcsb.org/download/2GRG.cif.gz,not_started
1241,2GRI,SOLUTION NMR,,888,https://files.rcsb.org/download/2GRI.cif.gz,not_started
1242,2GS0,SOLUTION NMR,,1021,https://files.rcsb.org/download/2GS0.cif.gz,not_started
1243,2GT3,SOLUTION NMR,,1633,https://files.rcsb.org/download/2GT3.cif.gz,not_started
1244,2GTJ,SOLUTION NMR,,776,https://files.rcsb.org/download/2GTJ.cif.gz,not_started
1245,2GTO,SOLUTION NMR,,776,https://files.rcsb.org/download/2GTO.cif.gz,not_started
1246,2GTV,SOLUTION NMR,,896,https://files.rcsb.org/download/2GTV.cif.gz,not_started
1247,2GVS,SOLUTION NMR,,889,https://files.rcsb.org/download/2GVS.cif.gz,not_started
1248,2GW6,SOLUTION NMR,,1929,https://files.rcsb.org/download/2GW6.cif.gz,not_started
1249,2GYT,SOLUTION NMR,,625,https://files.rcsb.org/download/2GYT.cif.gz,not_started
1250,2GZO,SOLUTION NMR,,1455,https://files.rcsb.org/download/2GZO.cif.gz,not_started
1251,2GZP,SOLUTION NMR,,1062,https://files.rcsb.org/download/2GZP.cif.gz,not_started
1252,2GZU,SOLUTION NMR,,1088,https://files.rcsb.org/download/2GZU.cif.gz,not_started
1253,2GZY,SOLUTION NMR,,797,https://files.rcsb.org/download/2GZY.cif.gz,not_started
1254,2GZZ,SOLUTION NMR,,797,https://files.rcsb.org/download/2GZZ.cif.gz,not_started
1255,2H0P,SOLUTION NMR,,855,https://files.rcsb.org/download/2H0P.cif.gz,not_started
1256,2H25,SOLUTION NMR,,2877,https://files.rcsb.org/download/2H25.cif.gz,not_started
